MsgID.GLOBAL_POSITION,0.0000000,-122.3974517,37.7924813,0.1570000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,12.2620000,0.1516707,-0.1533567,-0.1571622
MsgID.LOCAL_VELOCITY,12.2620000,0.0000064,-0.0000056,0.0000185
MsgID.GLOBAL_POSITION,0.0000000,-122.3974516,37.7924807,0.1710000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,12.5120000,0.0802462,-0.1454078,-0.1711703
MsgID.LOCAL_VELOCITY,12.5120000,0.0000246,-0.0000114,0.0000164
MsgID.LOCAL_POSITION,12.7620000,0.0890922,0.0903727,-0.1890777
MsgID.LOCAL_VELOCITY,12.7620000,-0.0000201,-0.0000199,0.0000231
MsgID.GLOBAL_POSITION,0.0000000,-122.3974489,37.7924808,0.1890000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.STATE,0.0000000,True,True,1
MsgID.GLOBAL_HOME,0.0000000,-122.3974500,37.7924800,0.0000000
MsgID.LOCAL_POSITION,13.0120000,0.0280055,0.0150189,-0.2139354
MsgID.LOCAL_VELOCITY,13.0120000,0.0000190,0.0000014,0.0000145
MsgID.GLOBAL_POSITION,0.0000000,-122.3974498,37.7924802,0.2130000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,13.2620000,-0.1208009,-0.1411969,-0.2359986
MsgID.LOCAL_VELOCITY,13.2620000,0.0000175,-0.0000248,0.0000143
MsgID.GLOBAL_POSITION,0.0000000,-122.3974515,37.7924789,0.2350000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,13.5120000,-0.0916097,-0.0278385,-0.2557438
MsgID.LOCAL_VELOCITY,13.5120000,0.0000213,-0.0000069,0.0000181
MsgID.GLOBAL_POSITION,0.0000000,-122.3974503,37.7924791,0.2550000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,13.7630000,-0.0009705,0.1334403,-0.2637708
MsgID.LOCAL_VELOCITY,13.7630000,0.0000120,-0.0000148,0.0000224
MsgID.GLOBAL_POSITION,0.0000000,-122.3974484,37.7924799,0.2630000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.STATE,0.0000000,True,True,1
MsgID.GLOBAL_HOME,0.0000000,-122.3974500,37.7924800,0.0000000
MsgID.LOCAL_POSITION,14.0130000,-0.0003581,0.0656915,-0.2591254
MsgID.LOCAL_VELOCITY,14.0130000,-0.0000023,0.0000010,0.0000144
MsgID.GLOBAL_POSITION,0.0000000,-122.3974492,37.7924799,0.2590000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,14.2630000,-0.0326184,-0.0033639,-0.2433067
MsgID.LOCAL_VELOCITY,14.2630000,0.0000141,-0.0000038,0.0000183
MsgID.GLOBAL_POSITION,0.0000000,-122.3974500,37.7924797,0.2430000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,14.5130000,0.0509132,-0.0330749,-0.2147252
MsgID.LOCAL_VELOCITY,14.5130000,-0.0000123,-0.0000106,0.0000134
MsgID.GLOBAL_POSITION,0.0000000,-122.3974503,37.7924804,0.2140000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,14.7630000,0.1505192,0.1089362,-0.1839361
MsgID.LOCAL_VELOCITY,14.7630000,0.0000132,-0.0000141,0.0000179
MsgID.GLOBAL_POSITION,0.0000000,-122.3974487,37.7924813,0.1830000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.STATE,0.0000000,True,True,1
MsgID.GLOBAL_HOME,0.0000000,-122.3974500,37.7924800,0.0000000
MsgID.LOCAL_POSITION,15.0130000,0.0195539,0.0939454,-0.1463535
MsgID.LOCAL_VELOCITY,15.0130000,0.0000080,-0.0000030,0.0000191
MsgID.GLOBAL_POSITION,0.0000000,-122.3974489,37.7924801,0.1460000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,15.2630000,0.0136504,-0.0000913,-0.1141101
MsgID.LOCAL_VELOCITY,15.2630000,-0.0000193,-0.0000161,0.0000164
MsgID.GLOBAL_POSITION,0.0000000,-122.3974500,37.7924801,0.1140000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3974500,37.7924812,0.0790000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,15.5130000,0.1429213,-0.0002672,-0.0798118
MsgID.LOCAL_VELOCITY,15.5130000,-0.0000085,0.0000093,0.0000139
MsgID.GLOBAL_POSITION,0.0000000,-122.3974493,37.7924815,0.0510000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,15.7630000,0.1747843,0.0616836,-0.0513176
MsgID.LOCAL_VELOCITY,15.7630000,-0.0000094,0.0000115,0.0000073
MsgID.STATE,0.0000000,True,True,1
MsgID.GLOBAL_HOME,0.0000000,-122.3974500,37.7924800,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3974479,37.7924803,0.0200000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,16.0130000,0.0385297,0.1864559,-0.0202973
MsgID.LOCAL_VELOCITY,16.0130000,-0.0000040,-0.0000086,0.0000084
MsgID.GLOBAL_POSITION,0.0000000,-122.3974489,37.7924799,-0.0040000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,16.2630000,-0.0002067,0.0925466,0.0048778
MsgID.LOCAL_VELOCITY,16.2630000,-0.0000100,0.0000010,0.0000107
MsgID.GLOBAL_POSITION,0.0000000,-122.3974511,37.7924799,-0.0290000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,16.5130000,-0.0002199,-0.1012121,0.0298294
MsgID.LOCAL_VELOCITY,16.5130000,-0.0000032,-0.0000048,0.0000150
MsgID.GLOBAL_POSITION,0.0000000,-122.3974510,37.7924799,-0.0460000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,16.7630000,-0.0002199,-0.0895358,0.0463546
MsgID.LOCAL_VELOCITY,16.7630000,-0.0000117,-0.0000196,0.0000047
MsgID.STATE,0.0000000,True,True,1
MsgID.GLOBAL_HOME,0.0000000,-122.3974500,37.7924800,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3974500,37.7924799,-0.0560000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,17.0140000,-0.0000981,-0.0071076,0.0569823
MsgID.LOCAL_VELOCITY,17.0140000,0.0000133,-0.0000138,0.0000013
MsgID.GLOBAL_POSITION,0.0000000,-122.3974501,37.7924799,-0.0570000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,17.2640000,-0.0061217,-0.0105332,0.0573119
MsgID.LOCAL_VELOCITY,17.2640000,-0.0000203,-0.0000046,0.0000039
MsgID.GLOBAL_POSITION,0.0000000,-122.3974515,37.7924794,-0.0450000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,17.5140000,-0.0559800,-0.1338428,0.0457397
MsgID.LOCAL_VELOCITY,17.5140000,-0.0000389,0.0000229,0.0000015
MsgID.GLOBAL_POSITION,0.0000000,-122.3974497,37.7924796,-0.0240000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,17.7640000,-0.0415268,0.0224308,0.0241766
MsgID.LOCAL_VELOCITY,17.7640000,-0.0000209,0.0000012,0.0000070
MsgID.STATE,0.0000000,True,True,1
MsgID.GLOBAL_HOME,0.0000000,-122.3974500,37.7924800,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3974482,37.7924797,0.0130000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,18.0140000,-0.0289685,0.1557048,-0.0132768
MsgID.LOCAL_VELOCITY,18.0140000,-0.0000153,-0.0000014,0.0000065
MsgID.GLOBAL_POSITION,0.0000000,-122.3974482,37.7924786,0.0540000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,18.2640000,-0.1492727,0.1538417,-0.0546318
MsgID.LOCAL_VELOCITY,18.2640000,0.0000011,0.0000109,0.0000166
MsgID.LOCAL_POSITION,18.5140000,-0.0467950,-0.0037053,-0.1054390
MsgID.LOCAL_VELOCITY,18.5140000,-0.0000025,0.0000057,0.0000161
MsgID.GLOBAL_POSITION,0.0000000,-122.3974500,37.7924795,0.1050000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3974500,37.7924799,0.1470000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,18.7640000,-0.0002199,-0.0057324,-0.1473338
MsgID.LOCAL_VELOCITY,18.7640000,-0.0000170,-0.0000042,0.0000157
MsgID.STATE,0.0000000,True,True,1
MsgID.GLOBAL_HOME,0.0000000,-122.3974500,37.7924800,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3974491,37.7924800,0.1850000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,19.0140000,0.0036634,0.0731982,-0.1858893
MsgID.LOCAL_VELOCITY,19.0140000,0.0000264,-0.0000370,0.0000121
MsgID.GLOBAL_POSITION,0.0000000,-122.3974498,37.7924803,0.2050000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,19.2640000,0.0369483,0.0129079,-0.2057183
MsgID.LOCAL_VELOCITY,19.2640000,0.0000178,0.0000090,0.0000171
MsgID.GLOBAL_POSITION,0.0000000,-122.3974483,37.7924790,0.2060000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
